Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Participation,Archery Women's Team Participation,Archery Coed Team Men Participation,Archery Coed Team Women Participation,Archery Total Participation,Badminton Men's Team Participation,Badminton Women's Team Participation,Badminton Coed Team Men Participation,Badminton Coed Team Women Participation,Badminton Total Participation,Baseball Men's Team Participation,Baseball Women's Team Participation,Baseball Coed Team Men Participation,Baseball Coed Team Women Participation,Baseball Total Participation,Basketball Men's Team Participation,Basketball Women's Team Participation,Basketball Coed Team Men Participation,Basketball Coed Team Women Participation,Basketball Total Participation,Beach Volleyball Men's Team Participation,Beach Volleyball Women's Team Participation,Beach Volleyball Coed Team Men Participation,Beach Volleyball Coed Team Women Participation,Beach Volleyball Total Participation,Bowling Men's Team Participation,Bowling Women's Team Participation,Bowling Coed Team Men Participation,Bowling Coed Team Women Participation,Bowling Total Participation,All Track Combined Men's Team Participation,All Track Combined Women's Team Participation,All Track Combined Coed Team Men Participation,All Track Combined Coed Team Women Participation,All Track Combined Total Participation,Diving Men's Team Participation,Diving Women's Team Participation,Diving Coed Team Men Participation,Diving Coed Team Women Participation,Diving Total Participation,Equestrian Men's Team Participation,Equestrian Women's Team Participation,Equestrian Coed Team Men Participation,Equestrian Coed Team Women Participation,Equestrian Total Participation,Fencing Men's Team Participation,Fencing Women's Team Participation,Fencing Coed Team Men Participation,Fencing Coed Team Women Participation,Fencing Total Participation,Field Hockey Men's Team Participation,Field Hockey Women's Team Participation,Field Hockey Coed Team Men Participation,Field Hockey Coed Team Women Participation,Field Hockey Total Participation,Football Men's Team Participation,Football Women's Team Participation,Football Coed Team Men Participation,Football Coed Team Women Participation,Football Total Participation,Golf Men's Team Participation,Golf Women's Team Participation,Golf Coed Team Men Participation,Golf Coed Team Women Participation,Golf Total Participation,Gymnastics Men's Team Participation,Gymnastics Women's Team Participation,Gymnastics Coed Team Men Participation,Gymnastics Coed Team Women Participation,Gymnastics Total Participation,Ice Hockey Men's Team Participation,Ice Hockey Women's Team Participation,Ice Hockey Coed Team Men Participation,Ice Hockey Coed Team Women Participation,Ice Hockey Total Participation,Lacrosse Men's Team Participation,Lacrosse Women's Team Participation,Lacrosse Coed Team Men Participation,Lacrosse Coed Team Women Participation,Lacrosse Total Participation,Rifle Men's Team Participation,Rifle Women's Team Participation,Rifle Coed Team Men Participation,Rifle Coed Team Women Participation,Rifle Total Participation,Rodeo Men's Team Participation,Rodeo Women's Team Participation,Rodeo Coed Team Men Participation,Rodeo Coed Team Women Participation,Rodeo Total Participation,Rowing Men's Team Participation,Rowing Women's Team Participation,Rowing Coed Team Men Participation,Rowing Coed Team Women Participation,Rowing Total Participation,Sailing Men's Team Participation,Sailing Women's Team Participation,Sailing Coed Team Men Participation,Sailing Coed Team Women Participation,Sailing Total Participation,Skiing Men's Team Participation,Skiing Women's Team Participation,Skiing Coed Team Men Participation,Skiing Coed Team Women Participation,Skiing Total Participation,Soccer Men's Team Participation,Soccer Women's Team Participation,Soccer Coed Team Men Participation,Soccer Coed Team Women Participation,Soccer Total Participation,Softball Men's Team Participation,Softball Women's Team Participation,Softball Coed Team Men Participation,Softball Coed Team Women Participation,Softball Total Participation,Squash Men's Team Participation,Squash Women's Team Participation,Squash Coed Team Men Participation,Squash Coed Team Women Participation,Squash Total Participation,Swimming and Diving Men's Team Participation,Swimming and Diving Women's Team Participation,Swimming and Diving Coed Team Men Participation,Swimming and Diving Coed Team Women Participation,Swimming and Diving Total Participation,Swimming Men's Team Participation,Swimming Women's Team Participation,Swimming Coed Team Men Participation,Swimming Coed Team Women Participation,Swimming Total Participation,Synchronized Swimming Men's Team Participation,Synchronized Swimming Women's Team Participation,Synchronized Swimming Coed Team Men Participation,Synchronized Swimming Coed Team Women Participation,Synchronized Swimming Total Participation,Table Tennis Men's Team Participation,Table Tennis Women's Team Participation,Table Tennis Coed Team Men Participation,Table Tennis Coed Team Women Participation,Table Tennis Total Participation,Team Handball Men's Team Participation,Team Handball Women's Team Participation,Team Handball Coed Team Men Participation,Team Handball Coed Team Women Participation,Team Handball Total Participation,Tennis Men's Team Participation,Tennis Women's Team Participation,Tennis Coed Team Men Participation,Tennis Coed Team Women Participation,Tennis Total Participation,Track and Field Indoor Men's Team Participation,Track and Field Indoor Women's Team Participation,Track and Field Indoor Coed Team Men Participation,Track and Field Indoor Coed Team Women Participation,Track and Field Indoor Total Participation,Track and Field Outdoor Men's Team Participation,Track and Field Outdoor Women's Team Participation,Track and Field Outdoor Coed Team Men Participation,Track and Field Outdoor Coed Team Women Participation,Track and Field Outdoor Total Participation,Track and Field X Country Men's Team Participation,Track and Field X Country Women's Team Participation,Track and Field X Country Coed Team Men Participation,Track and Field X Country Coed Team Women Participation,Track and Field X Country Total Participation,Volleyball Men's Team Participation,Volleyball Women's Team Participation,Volleyball Coed Team Men Participation,Volleyball Coed Team Women Participation,Volleyball Total Participation,Water Polo Men's Team Participation,Water Polo Women's Team Participation,Water Polo Coed Team Men Participation,Water Polo Coed Team Women Participation,Water Polo Total Participation,Weight Lifting Men's Team Participation,Weight Lifting Women's Team Participation,Weight Lifting Coed Team Men Participation,Weight Lifting Coed Team Women Participation,Weight Lifting Total Participation,Wrestling Men's Team Participation,Wrestling Women's Team Participation,Wrestling Coed Team Men Participation,Wrestling Coed Team Women Participation,Wrestling Total Participation,Other Sports Men's Team Participation,Other Sports Women's Team Participation,Other Sports Coed Team Men Participation,Other Sports Coed Team Women Participation,Other Sports Total Participation,Total Men's Team Participation,Total Women's Team Participation,Total Coed Team Men Participation,Total Coed Team Women Participation,Grand Total Men's Participation,Grand Total Women's Participation,Unduplicated Count Men's Participation,Unduplicated Count Women's Participation
2003,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3163,3006,6169,,,,,,,,,,,33,,,,33,15,13,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,19,13,,,32,,21,,,21,81,,,,81,12,6,,,18,,,,,,,,,,,45,31,,,76,,,,,,,,,,,,44,,,44,,,,,,,,,,,23,22,,,45,,,,,,,,,,,32,26,,,58,,,,,,,,,,,,,,,,,,,,,11,10,,,21,,,,,,,,,,,50,46,,,96,,17,,,17,,,,,,,,,,,35,,,,35,,,,,,356,249,,,356,249,351,248
2003,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,6285,9070,15355,,,,,,,,,,,35,,,,35,30,13,,,43,,,,,,,,,,,103,109,,,212,,,,,,,,,,,40,31,,,71,,22,,,22,135,,,,135,12,8,,,20,,16,,,16,,,,,,49,29,,,78,,,,,,,,,,,,52,,,52,,,,,,,,,,,28,32,,,60,,23,,,23,,,,,,33,35,,,68,,,,,,,,,,,,,,,,,,,,,14,9,,,23,,,,,,,,,,,,,,,,,14,,,14,,,,,,,,,,,34,,,,34,,,,,,513,393,,,513,393,488,367
2004,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3202,3050,6252,,,,,,,,,,,34,,,,34,14,11,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,20,13,,,33,,20,,,20,104,,,,104,11,5,,,16,,,,,,,,,,,46,31,,,77,,,,,,,,,,,,70,,,70,,,,,,,,,,,29,25,,,54,,,,,,,,,,,26,25,,,51,,,,,,,,,,,,,,,,,,,,,12,10,,,22,,,,,,,,,,,49,47,,,96,,14,,,14,,,,,,,,,,,29,,,,29,,,,,,374,271,,,374,271,374,271
2004,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,6560,9138,15698,,,,,,,,,,,38,,,,38,16,14,,,30,,,,,,,,,,,99,97,,,196,,,,,,,,,,,34,38,,,72,,22,,,22,136,,,,136,12,11,,,23,,17,,,17,,,,,,46,31,,,77,,,,,,,,,,,,47,,,47,,,,,,,,,,,30,31,,,61,,19,,,19,,,,,,41,30,,,71,,,,,,,,,,,,,,,,,,,,,16,9,,,25,,,,,,,,,,,,,,,,,16,,,16,,,,,,,,,,,34,,,,34,,,,,,502,382,,,502,382,502,382
2005,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3357,3113,6470,,,,,,,,,,,29,,,,29,16,13,,,29,,,,,,,,,,,54,46,,,100,,,,,,,,,,,20,15,,,35,,20,,,20,105,,,,105,12,5,,,17,,,,,,,,,,,46,31,,,77,,,,,,,,,,,,63,,,63,,,,,,,,,,,27,27,,,54,,,,,,,,,,,23,32,,,55,,,,,,,,,,,,,,,,,,,,,10,12,,,22,,,,,,,,,,,,,,,,,15,,,15,,,,,,,,,,,32,,,,32,,,,,,374,279,,,374,279,374,279
2005,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,6589,9322,15911,,,,,,,,,,,31,,,,31,15,16,,,31,,,,,,,,,,,96,94,,,190,,,,,,,,,,,27,27,,,54,,20,,,20,123,,,,123,13,11,,,24,,14,,,14,,,,,,46,33,,,79,,,,,,,,,,,,66,,,66,,,,,,,,,,,30,30,,,60,,21,,,21,,,,,,35,38,,,73,,,,,,,,,,,,,,,,,,,,,16,11,,,27,,,,,,,,,,,,,,,,,17,,,17,,,,,,,,,,,29,,,,29,,,,,,461,398,,,461,398,406,344
2006,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3267,2977,6244,,,,,,,,,,,26,,,,26,15,11,,,26,,,,,,,,,,,55,50,,,105,,,,,,,,,,,20,19,,,39,,17,,,17,98,,,,98,13,7,,,20,,,,,,,,,,,41,31,,,72,,,,,,,,,,,,40,,,40,,,,,,,,,,,29,24,,,53,,,,,,,,,,,31,24,,,55,,,,,,,,,,,,,,,,,,,,,9,10,,,19,,,,,,,,,,,,,,,,,15,,,15,,,,,,,,,,,32,,,,32,,,,,,369,248,,,369,248,369,248
2006,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,6940,9900,16840,,,,,,,,,,,39,,,,39,17,15,,,32,,,,,,,,,,,99,103,,,202,,,,,,,,,,,28,27,,,55,,24,,,24,128,,,,128,12,10,,,22,,15,,,15,,,,,,43,37,,,80,,,,,,,,,,,,62,,,62,,,,,,,,,,,31,32,,,63,,23,,,23,,,,,,38,38,,,76,,,,,,,,,,,,,,,,,,,,,17,13,,,30,,,,,,,,,,,,,,,,,18,,,18,,,,,,,,,,,31,,,,31,,,,,,483,417,,,483,417,426,358
2007,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3219,3028,6247,,,,,,,,,,,29,,,,29,13,12,,,25,,,,,,,,,,,41,43,,,84,,,,,,,,,,,24,16,,,40,,20,,,20,93,,,,93,14,7,,,21,,,,,,,,,,,47,34,,,81,,,,,,,,,,,,45,,,45,,,,,,,,,,,29,21,,,50,,,,,,,,,,,31,27,,,58,,,,,,,,,,,,,,,,,,,,,11,9,,,20,,,,,,,,,,,,,,,,,14,,,14,,,,,,,,,,,27,,,,27,,,,,,359,248,,,359,248,359,248
2007,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,7554,10634,18188,,,,,,,,,,,40,,,,40,16,15,,,31,,,,,,,,,,,104,95,,,199,,,,,,,,,,,31,25,,,56,,27,,,27,114,,,,114,14,9,,,23,,13,,,13,,,,,,47,31,,,78,,,,,,,,,,,,64,,,64,,,,,,,,,,,29,31,,,60,,21,,,21,,,,,,43,34,,,77,,,,,,,,,,,,,,,,,,,,,16,11,,,27,,,,,,,,,,,,,,,,,17,,,17,,,,,,,,,,,32,,,,32,,,,,,486,393,,,486,393,425,340
