Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Exp
2003,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3163,3006,6169,,,,,,,,,247060,,,247060,4873398,1538022,,6411420,,,,,,,,,,,,,,,,,,,,,47682,65683,,113365,,291939,,291939,4953823,,,4953823,168849,165673,,334522,,,,,,,,,333721,283971,,617692,,,,,,,,,,387217,,387217,,,,,,,,,209355,196915,,406270,,,,,,,,,86778,94206,,180984,,,,,,,,,,,,,,,,,226937,251494,,478431,,,,,,,
2003,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,6285,9070,15355,,,,,,,,,637039,,,637039,3373808,1618431,,4992239,,,,,,,,,528740,661937,,1190677,,,,,,,,,55672,55672,,111344,,528525,,528525,9482795,,,9482795,216496,285599,,502095,,298818,,298818,,,,,582818,514060,,1096878,,,,,,,,,,257873,,257873,,,,,,,,,383655,634472,,1018127,,479940,,479940,,,,,358848,454449,,813297,,,,,,,,,,,,,,,,,283358,334578,,617936,,,,,,,
2004,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3202,3050,6252,,,,,,,,,699068,,,699068,7400772,2268777,,9669549,,,,,,,,,,,,,,,,,,,,,48557,62466,,111023,,797218,,797218,9314704,,,9314704,367003,399017,,766020,,,,,,,,,951919,788752,,1740671,,,,,,,,,,1051031,,1051031,,,,,,,,,693096,759939,,1453035,,,,,,,,,108211,97176,,205387,,,,,,,,,,,,,,,,,455345,612545,,1067890,,,,,,,
2004,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,6560,9138,15698,,,,,,,,,624259,,,624259,4845388,1611399,,6456787,,,,,,,,,569329,718726,,1288055,,,,,,,,,82629,82629,,165258,,583379,,583379,10531683,,,10531683,234555,279006,,513561,,322484,,322484,,,,,621636,515708,,1137344,,,,,,,,,,307059,,307059,,,,,,,,,450116,653513,,1103629,,494651,,494651,,,,,357613,452111,,809724,,,,,,,,,,,,,,,,,310382,389416,,699798,,,,,,,
2005,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3357,3113,6470,,,,,,,,,838003,,,838003,8133188,2817662,,10950850,,,,,,,,,298291,948530,,1246821,,,,,,,,,77094,73351,,150445,,958641,,958641,10052697,,,10052697,419250,458594,,877844,,,,,,,,,951790,880816,,1832606,,,,,,,,,,1093434,,1093434,,,,,,,,,834948,739433,,1574381,,,,,,,,,135482,113210,,248692,,,,,,,,,,,,,,,,,457405,749843,,1207248,,,,,,,
2005,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,6589,9322,15911,,,,,,,,,889811,,,889811,4690874,2095458,,6786332,,,,,,,,,494773,781603,,1276376,,,,,,,,,90713,90713,,181426,,622386,,622386,10078439,,,10078439,269685,326325,,596010,,355429,,355429,,,,,766072,613835,,1379907,,,,,,,,,,326675,,326675,,,,,,,,,499122,795500,,1294622,,616672,,616672,,,,,436888,546528,,983416,,,,,,,,,,,,,,,,,367411,428092,,795503,,,,,,,
2006,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3267,2977,6244,,,,,,,,,776556,,,776556,8010066,3628666,,11638732,,,,,,,,,401447,874513,,1275960,,,,,,,,,60209,60212,,120421,,392537,,392537,9743924,,,9743924,446037,548631,,994668,,,,,,,,,1555372,1042714,,2598086,,,,,,,,,,1091329,,1091329,,,,,,,,,774662,889360,,1664022,,,,,,,,,148280,148282,,296562,,,,,,,,,,,,,,,,,505990,687793,,1193783,,,,,,,
2006,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,6940,9900,16840,,,,,,,,,1113456,,,1113456,5632518,2112979,,7745497,,,,,,,,,595625,779977,,1375602,,,,,,,,,100820,100820,,201640,,720575,,720575,15097818,,,15097818,393057,320793,,713850,,447122,,447122,,,,,649461,653506,,1302967,,,,,,,,,,355283,,355283,,,,,,,,,498074,893759,,1391833,,641772,,641772,,,,,511569,599249,,1110818,,,,,,,,,,,,,,,,,374725,430719,,805444,,,,,,,
2007,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3219,3028,6247,,,,,,,,,1031034,,,1031034,15047984,3584821,,18632805,,,,,,,,,530331,1048163,,1578494,,,,,,,,,76217,81329,,157546,,958809,,958809,14092574,,,14092574,608345,600031,,1208376,,,,,,,,,1467346,1119056,,2586402,,,,,,,,,,1245571,,1245571,,,,,,,,,1000717,1025546,,2026263,,,,,,,,,143703,175293,,318996,,,,,,,,,,,,,,,,,529390,739538,,1268928,,,,,,,
2007,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,7554,10634,18188,,,,,,,,,1226120,,,1226120,6779453,2352820,,9132273,,,,,,,,,595974,720287,,1316261,,,,,,,,,100451,100451,,200902,,711210,,711210,13233977,,,13233977,261396,335148,,596544,,446868,,446868,,,,,744678,690323,,1435001,,,,,,,,,,406382,,406382,,,,,,,,,476809,799455,,1276264,,716639,,716639,,,,,519176,584044,,1103220,,,,,,,,,,,,,,,,,463117,455646,,918763,,,,,,,
