Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team 
2003,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3163,3006,6169,,,,,,,,,19953,,,19953,10581992,579829,,11161821,,,,,,,,,,,,,,,,,,,,,3940,3940,,7880,,5625,,5625,8419473,,,8419473,10558,1338,,11896,,,,,,,,,126893,5025,,131918,,,,,,,,,,3985,,3985,,,,,,,,,5540,1500,,7040,,,,,,,,,7696,7696,,15392,,,,,,,,,,,,,,,,,16500,3600,,20100,,,,,,,,,41878,9232
2003,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,6285,9070,15355,,,,,,,,,295306,,,295306,13494692,500138,,13994830,,,,,,,,,341699,474896,,816595,,,,,,,,,1098,1098,,2196,,313967,,313967,15120192,,,15120192,145369,189049,,334418,,170293,,170293,,,,,351055,322263,,673318,,,,,,,,,,61605,,61605,,,,,,,,,206427,457407,,663834,,280593,,280593,,,,,225892,321493,,547385,,,,,,,,,,,,,,,,,133915,186750,,320665,,,,,,,,,,
2004,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3202,3050,6252,,,,,,,,,50207,,,50207,12394050,556541,,12950591,,,,,,,,,,,,,,,,,,,,,5086,5086,,10172,,7149,,7149,7727680,,,7727680,14616,16004,,30620,,,,,,,,,64026,1175,,65201,,,,,,,,,,5,,5,,,,,,,,,56468,6125,,62593,,,,,,,,,14902,14902,,29804,,,,,,,,,,,,,,,,,28873,5464,,34337,,,,,,,,,44354,44354
2004,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,6560,9138,15698,,,,,,,,,297355,,,297355,15016479,538689,,15555168,,,,,,,,,330679,480076,,810755,,,,,,,,,3018,3018,,6036,,383747,,383747,17332920,,,17332920,137643,179176,,316819,,173600,,173600,,,,,333937,312059,,645996,,,,,,,,,,63981,,63981,,,,,,,,,235174,344875,,580049,,280477,,280477,,,,,235909,330407,,566316,,,,,,,,,,,,,,,,,138786,188807,,327593,,,,,,,,,,
2005,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3357,3113,6470,,,,,,,,,62370,,,62370,12199195,646937,,12846132,,,,,,,,,44330,16385,,60715,,,,,,,,,16080,16080,,32160,,9670,,9670,8381452,,,8381452,18515,4394,,22909,,,,,,,,,49963,29674,,79637,,,,,,,,,,1,,1,,,,,,,,,52336,7175,,59511,,,,,,,,,27390,27391,,54781,,,,,,,,,,,,,,,,,56372,7202,,63574,,,,,,,,,,
2005,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,6589,9322,15911,,,,,,,,,345147,,,345147,17216083,525108,,17741191,,,,,,,,,240690,527520,,768210,,,,,,,,,1448,1448,,2896,,360557,,360557,17407010,,,17407010,163244,201142,,364386,,199414,,199414,,,,,477236,348585,,825821,,,,,,,,,,79545,,79545,,,,,,,,,257397,427391,,684788,,317597,,317597,,,,,262320,371960,,634280,,,,,,,,,,,,,,,,,163988,243290,,407278,,,,,,,,,,
2006,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3267,2977,6244,,,,,,,,,121092,,,121092,13410114,609886,,14020000,,,,,,,,,15548,15548,,31096,,,,,,,,,2706,2706,,5412,,8167,,8167,8966170,,,8966170,28275,18487,,46762,,,,,,,,,112095,36969,,149064,,,,,,,,,,2620,,2620,,,,,,,,,34164,14275,,48439,,,,,,,,,13024,13025,,26049,,,,,,,,,,,,,,,,,87730,7643,,95373,,,,,,,,,,
2006,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,6940,9900,16840,,,,,,,,,522922,,,522922,17215199,569200,,17784399,,,,,,,,,332603,516955,,849558,,,,,,,,,123,123,,246,,362004,,362004,18147854,,,18147854,178600,135885,,314485,,246216,,246216,,,,,387905,378927,,766832,,,,,,,,,,88849,,88849,,,,,,,,,227921,398488,,626409,,324522,,324522,,,,,305087,392766,,697853,,,,,,,,,,,,,,,,,184331,194696,,379027,,,,,,,,,,
2007,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3219,3028,6247,,,,,,,,,152502,,,152502,15903075,701640,,16604715,,,,,,,,,126666,90904,,217570,,,,,,,,,11316,11314,,22630,,33941,,33941,10211591,,,10211591,73661,69715,,143376,,,,,,,,,105762,34717,,140479,,,,,,,,,,33712,,33712,,,,,,,,,88691,35088,,123779,,,,,,,,,25334,25331,,50665,,,,,,,,,,,,,,,,,78227,23303,,101530,,,,,,,,,,
2007,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,7554,10634,18188,,,,,,,,,550326,,,550326,17831583,515816,,18347399,,,,,,,,,322098,446411,,768509,,,,,,,,,3465,3465,,6930,,326032,,326032,20687386,,,20687386,178820,230885,,409705,,239202,,239202,,,,,424398,363129,,787527,,,,,,,,,,92580,,92580,,,,,,,,,231927,433852,,665779,,395957,,395957,,,,,301050,365918,,666968,,,,,,,,,,,,,,,,,143902,195212,,339114,,,,,,,,,,
